CoReg;Year;Series;Value;Footnotes;Source
Belgium;1995;Supply per capita (gigajoules);221;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2000;Supply per capita (gigajoules);238;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2005;Supply per capita (gigajoules);232;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2010;Supply per capita (gigajoules);228;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2015;Supply per capita (gigajoules);193;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2016;Supply per capita (gigajoules);203;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2017;Supply per capita (gigajoules);201;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belgium;2018;Supply per capita (gigajoules);193;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;1995;Primary energy production (petajoules);4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2000;Primary energy production (petajoules);5;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2005;Primary energy production (petajoules);4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2010;Primary energy production (petajoules);14;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2015;Primary energy production (petajoules);9;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2016;Primary energy production (petajoules);8;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2017;Primary energy production (petajoules);9;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2018;Primary energy production (petajoules);8;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;1995;Net imports [Imports - Exports - Bunkers] (petajoules);6;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2000;Net imports [Imports - Exports - Bunkers] (petajoules);6;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2005;Net imports [Imports - Exports - Bunkers] (petajoules);7;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2010;Net imports [Imports - Exports - Bunkers] (petajoules);-2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2015;Net imports [Imports - Exports - Bunkers] (petajoules);6;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2016;Net imports [Imports - Exports - Bunkers] (petajoules);7;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2017;Net imports [Imports - Exports - Bunkers] (petajoules);7;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2018;Net imports [Imports - Exports - Bunkers] (petajoules);8;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2010;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2015;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2016;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2017;Changes in stocks (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2018;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;1995;Total supply (petajoules);10;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2000;Total supply (petajoules);11;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2005;Total supply (petajoules);11;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2010;Total supply (petajoules);13;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2015;Total supply (petajoules);16;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2016;Total supply (petajoules);15;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2017;Total supply (petajoules);16;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2018;Total supply (petajoules);16;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;1995;Supply per capita (gigajoules);44;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2000;Supply per capita (gigajoules);44;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2005;Supply per capita (gigajoules);39;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2010;Supply per capita (gigajoules);40;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2015;Supply per capita (gigajoules);44;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2016;Supply per capita (gigajoules);42;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2017;Supply per capita (gigajoules);43;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Belize;2018;Supply per capita (gigajoules);42;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;1995;Primary energy production (petajoules);79;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2000;Primary energy production (petajoules);62;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2005;Primary energy production (petajoules);70;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2010;Primary energy production (petajoules);86;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2015;Primary energy production (petajoules);114;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2016;Primary energy production (petajoules);105;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2017;Primary energy production (petajoules);114;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2018;Primary energy production (petajoules);114;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;1995;Net imports [Imports - Exports - Bunkers] (petajoules);10;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2000;Net imports [Imports - Exports - Bunkers] (petajoules);20;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2005;Net imports [Imports - Exports - Bunkers] (petajoules);37;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2010;Net imports [Imports - Exports - Bunkers] (petajoules);67;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2015;Net imports [Imports - Exports - Bunkers] (petajoules);77;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2016;Net imports [Imports - Exports - Bunkers] (petajoules);91;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2017;Net imports [Imports - Exports - Bunkers] (petajoules);97;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2018;Net imports [Imports - Exports - Bunkers] (petajoules);108;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;1995;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2000;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2005;Changes in stocks (petajoules);2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2010;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Benin;2015;Changes in stocks (petajoules);2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
